id,name,sex,age,height,weight,team,noc,games,year,season,city,sport,event,medal
29484,Xavier Elle Dorfman,M,27,182,71,France,FRA,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Men's Lightweight Coxless Fours,Gold
29493,Marie Dorin-Habert,F,23,168,55,France,FRA,2010 Winter,2010,Winter,Vancouver,Biathlon,Biathlon Women's 7.5 kilometres Sprint,Bronze
29493,Marie Dorin-Habert,F,23,168,55,France,FRA,2010 Winter,2010,Winter,Vancouver,Biathlon,Biathlon Women's 4 x 6 kilometres Relay,Silver
29534,Oksana Anatolyevna Dorodnova,F,26,178,82,Russia,RUS,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Women's Quadruple Sculls,Bronze
29535,Dmitry Anatolyevich Dorofeyev,M,29,193,96,Russia,RUS,2006 Winter,2006,Winter,Torino,Speed Skating,Speed Skating Men's 500 metres,Silver
29580,Giovani dos Santos Ramrez,M,23,172,70,Mexico,MEX,2012 Summer,2012,Summer,London,Football,Football Men's Football,Gold
29671,Drew Doughty,M,20,185,92,Canada,CAN,2010 Winter,2010,Winter,Vancouver,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
29671,Drew Doughty,M,24,185,92,Canada,CAN,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
29709,Rowley Douglas,M,23,165,58,Great Britain,GBR,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Men's Coxed Eights,Gold
29713,Douglas dos Santos Justino de Melo,M,22,173,69,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Men's Football,Gold
29762,Nataliya Viktorivna Dovhodko,F,21,186,78,Ukraine,UKR,2012 Summer,2012,Summer,London,Rowing,Rowing Women's Quadruple Sculls,Gold
29868,Duje Draganja,M,21,197,86,Croatia,CRO,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 50 metres Freestyle,Silver
29875,"Stacy Rene Dragila (Mikaelsen-, -Waltz)",F,29,172,62,United States,USA,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Women's Pole Vault,Gold
29899,Felix Drahotta,M,27,200,102,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxed Eights,Silver
29958,Heike Gabriela Drechsler (Daute-),F,35,181,68,Germany,GER,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Women's Long Jump,Gold
29965,Lachlan George Dreher,M,33,175,77,Australia,AUS,2000 Summer,2000,Summer,Sydney,Hockey,Hockey Men's Hockey,Bronze
29989,Caeleb Remel Dressel,M,19,191,86,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
29989,Caeleb Remel Dressel,M,19,191,86,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
30018,"Pamela Kristine ""Pam"" Dreyer (-Sunkinen)",F,24,165,70,United States,USA,2006 Winter,2006,Winter,Torino,Ice Hockey,Ice Hockey Women's Ice Hockey,Bronze
30030,Steffen Driesen,M,22,194,90,Germany,GER,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Silver
30070,Marie-ve Drolet,F,20,167,60,Canada,CAN,2002 Winter,2002,Winter,Salt Lake City,Short Track Speed Skating,"Short Track Speed Skating Women's 3,000 metres Relay",Bronze
30070,Marie-ve Drolet,F,32,167,60,Canada,CAN,2014 Winter,2014,Winter,Sochi,Short Track Speed Skating,"Short Track Speed Skating Women's 3,000 metres Relay",Silver
30088,Deena Michelle Drossin-Kastor,F,31,163,47,United States,USA,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's Marathon,Bronze
30097,Derek Drouin,M,22,196,83,Canada,CAN,2012 Summer,2012,Summer,London,Athletics,Athletics Men's High Jump,Bronze
30097,Derek Drouin,M,26,196,83,Canada,CAN,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's High Jump,Gold
30123,"Jonathan A. ""Jon"" Drummond",M,32,175,75,United States,USA,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 4 x 100 metres Relay,Gold
30126,Daniela Druncea,F,25,150,50,Romania,ROU,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Women's Coxed Eights,Bronze
30129,"Christopher Ellis ""Chris"" Drury",M,25,178,86,United States,USA,2002 Winter,2002,Winter,Salt Lake City,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
30129,"Christopher Ellis ""Chris"" Drury",M,33,178,86,United States,USA,2010 Winter,2010,Winter,Vancouver,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
30156,Alexander Mah Owens Drysdale,M,29,200,102,New Zealand,NZL,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Men's Single Sculls,Bronze
30156,Alexander Mah Owens Drysdale,M,33,200,102,New Zealand,NZL,2012 Summer,2012,Summer,London,Rowing,Rowing Men's Single Sculls,Gold
30156,Alexander Mah Owens Drysdale,M,37,200,102,New Zealand,NZL,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Single Sculls,Gold
30216,Duan Jingli,F,27,180,76,China,CHN,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Women's Single Sculls,Bronze
30298,Hugues Duboscq,M,22,191,84,France,FRA,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 100 metres Breaststroke,Bronze
30298,Hugues Duboscq,M,26,191,84,France,FRA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 100 metres Breaststroke,Bronze
30298,Hugues Duboscq,M,26,191,84,France,FRA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 200 metres Breaststroke,Bronze
30337,"Matthew ""Matt"" Duchene",M,23,180,91,Canada,CAN,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
30351,Eike Duckwitz,M,24,180,72,Germany,GER,2004 Summer,2004,Summer,Athina,Hockey,Hockey Men's Hockey,Bronze
30384,"Alyson ""Aly"" Dudek",F,19,168,58,United States,USA,2010 Winter,2010,Winter,Vancouver,Short Track Speed Skating,"Short Track Speed Skating Women's 3,000 metres Relay",Bronze
30426,Jason Paul Duff,M,27,184,78,Australia,AUS,2000 Summer,2000,Summer,Sydney,Hockey,Hockey Men's Hockey,Bronze
30447,Frdric Dufour,M,28,178,71,France,FRA,2004 Summer,2004,Summer,Athina,Rowing,Rowing Men's Lightweight Double Sculls,Silver
30475,Meghan Duggan,F,22,178,73,United States,USA,2010 Winter,2010,Winter,Vancouver,Ice Hockey,Ice Hockey Women's Ice Hockey,Silver
30475,Meghan Duggan,F,26,178,73,United States,USA,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Women's Ice Hockey,Silver
30565,Maria Magdalena Dumitrache,F,23,187,83,Romania,ROU,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Women's Coxed Eights,Gold
30649,"Michael F. ""Mike"" Dunham",M,29,190,91,United States,USA,2002 Winter,2002,Winter,Salt Lake City,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
30661,Fitzroy Junior Dunkley,M,23,195,79,Jamaica,JAM,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 4 x 400 metres Relay,Silver
30664,Joshua Dunkley-Smith,M,23,194,98,Australia,AUS,2012 Summer,2012,Summer,London,Rowing,Rowing Men's Coxless Fours,Silver
30664,Joshua Dunkley-Smith,M,27,194,98,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxless Fours,Silver
30699,"Patricia ""Tricia"" Dunn-Luoma",F,27,173,66,United States,USA,2002 Winter,2002,Winter,Salt Lake City,Ice Hockey,Ice Hockey Women's Ice Hockey,Silver
30699,"Patricia ""Tricia"" Dunn-Luoma",F,31,173,66,United States,USA,2006 Winter,2006,Winter,Torino,Ice Hockey,Ice Hockey Women's Ice Hockey,Bronze
30765,Lori Dupuis,F,29,173,75,Canada,CAN,2002 Winter,2002,Winter,Salt Lake City,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
30808,Scott David Durant,M,28,196,96,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxed Eights,Gold
30882,"Nathaniel James ""Nate"" Dusing",M,21,185,83,United States,USA,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Silver
30882,"Nathaniel James ""Nate"" Dusing",M,25,185,83,United States,USA,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Bronze
30948,Robin Duvillard,M,30,178,71,France,FRA,2014 Winter,2014,Winter,Sochi,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,Bronze
31012,Conor James Dwyer,M,23,196,89,United States,USA,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
31012,Conor James Dwyer,M,27,196,89,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 200 metres Freestyle,Bronze
31012,Conor James Dwyer,M,27,196,89,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
31015,Jamie Raymond Dwyer,M,25,172,68,Australia,AUS,2004 Summer,2004,Summer,Athina,Hockey,Hockey Men's Hockey,Gold
31015,Jamie Raymond Dwyer,M,29,172,68,Australia,AUS,2008 Summer,2008,Summer,Beijing,Hockey,Hockey Men's Hockey,Bronze
31015,Jamie Raymond Dwyer,M,33,172,68,Australia,AUS,2012 Summer,2012,Summer,London,Hockey,Hockey Men's Hockey,Bronze
31019,"Patrick ""Pat"" Dwyer",M,26,186,81,Australia,AUS,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 4 x 400 metres Relay,Silver
31103,Rumyana Dimitrova Dzhadzharova-Neykova,F,27,177,77,Bulgaria,BUL,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Women's Single Sculls,Silver
31103,Rumyana Dimitrova Dzhadzharova-Neykova,F,31,177,77,Bulgaria,BUL,2004 Summer,2004,Summer,Athina,Rowing,Rowing Women's Single Sculls,Bronze
31103,Rumyana Dimitrova Dzhadzharova-Neykova,F,35,177,77,Bulgaria,BUL,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Women's Single Sculls,Gold
31127,Yuliya Valentynivna Dzhyma,F,23,166,66,Ukraine,UKR,2014 Winter,2014,Winter,Sochi,Biathlon,Biathlon Women's 4 x 6 kilometres Relay,Gold
31205,Ashton James Eaton,M,24,186,81,United States,USA,2012 Summer,2012,Summer,London,Athletics,Athletics Men's Decathlon,Gold
31205,Ashton James Eaton,M,28,186,81,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Decathlon,Gold
31224,Eskild Balschmidt Ebbesen,M,28,185,75,Denmark,DEN,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Men's Lightweight Coxless Fours,Bronze
31224,Eskild Balschmidt Ebbesen,M,32,185,75,Denmark,DEN,2004 Summer,2004,Summer,Athina,Rowing,Rowing Men's Lightweight Coxless Fours,Gold
31224,Eskild Balschmidt Ebbesen,M,36,185,75,Denmark,DEN,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Men's Lightweight Coxless Fours,Gold
31224,Eskild Balschmidt Ebbesen,M,40,185,75,Denmark,DEN,2012 Summer,2012,Summer,London,Rowing,Rowing Men's Lightweight Coxless Fours,Bronze
31236,Stephan Eberharter,M,32,180,85,Austria,AUT,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing,Alpine Skiing Men's Downhill,Bronze
31236,Stephan Eberharter,M,32,180,85,Austria,AUT,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing,Alpine Skiing Men's Super G,Silver
31236,Stephan Eberharter,M,32,180,85,Austria,AUT,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing,Alpine Skiing Men's Giant Slalom,Gold
31259,Thomas Ebert,M,27,184,72,Denmark,DEN,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Men's Lightweight Coxless Fours,Bronze
31259,Thomas Ebert,M,31,184,72,Denmark,DEN,2004 Summer,2004,Summer,Athina,Rowing,Rowing Men's Lightweight Coxless Fours,Gold
31259,Thomas Ebert,M,35,184,72,Denmark,DEN,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Men's Lightweight Coxless Fours,Gold
31342,Tiril Kampenhaug Eckhoff,F,23,163,59,Norway,NOR,2014 Winter,2014,Winter,Sochi,Biathlon,Biathlon Mixed 2 x 6 kilometres and 2 x 7.5 kilometres Relay,Gold
31342,Tiril Kampenhaug Eckhoff,F,23,163,59,Norway,NOR,2014 Winter,2014,Winter,Sochi,Biathlon,Biathlon Women's 12.5 kilometres Mass Start,Bronze
31342,Tiril Kampenhaug Eckhoff,F,23,163,59,Norway,NOR,2014 Winter,2014,Winter,Sochi,Biathlon,Biathlon Women's 4 x 6 kilometres Relay,Bronze
31360,"Jessica Jane ""Jess"" Eddie",F,31,178,75,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Women's Coxed Eights,Silver
31391,Simon Eder,M,26,186,79,Austria,AUT,2010 Winter,2010,Winter,Vancouver,Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,Silver
31391,Simon Eder,M,30,186,79,Austria,AUT,2014 Winter,2014,Winter,Sochi,Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,Bronze
31419,Ulf Niklas Alexander Edler,M,27,191,98,Sweden,SWE,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
31457,Ann-Louise Carina Edstrand,F,26,178,67,Sweden,SWE,2002 Winter,2002,Winter,Salt Lake City,Ice Hockey,Ice Hockey Women's Ice Hockey,Bronze
31457,Ann-Louise Carina Edstrand,F,30,178,67,Sweden,SWE,2006 Winter,2006,Winter,Torino,Ice Hockey,Ice Hockey Women's Ice Hockey,Silver
31473,Anthony John Edwards,M,27,183,72,Australia,AUS,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Men's Lightweight Coxless Fours,Silver
31473,Anthony John Edwards,M,31,183,72,Australia,AUS,2004 Summer,2004,Summer,Athina,Rowing,Rowing Men's Lightweight Coxless Fours,Silver
31487,Jonathan David Edwards,M,34,182,73,Great Britain,GBR,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's Triple Jump,Gold
31508,Torri Mechelle Edwards,F,23,163,57,United States,USA,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Women's 4 x 100 metres Relay,Bronze
31551,Aaron Egbele,M,25,181,79,Nigeria,NGR,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze
31572,Gerritjan Eggenkamp,M,28,196,93,Netherlands,NED,2004 Summer,2004,Summer,Athina,Rowing,Rowing Men's Coxed Eights,Silver
31592,Romy Eggimann,F,18,157,54,Switzerland,SUI,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Women's Ice Hockey,Bronze
31599,"Richard Phillip ""Ric"" Egington",M,29,198,104,Great Britain,GBR,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Men's Coxed Eights,Silver
31599,"Richard Phillip ""Ric"" Egington",M,33,198,104,Great Britain,GBR,2012 Summer,2012,Summer,London,Rowing,Rowing Men's Coxed Eights,Bronze
31604,Nathan John Eglington,M,23,182,83,Australia,AUS,2004 Summer,2004,Summer,Athina,Hockey,Hockey Men's Hockey,Gold
31634,Naito Ehara,M,23,172,59,Japan,JPN,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
31729,Marten Eikelboom,M,26,185,75,Netherlands,NED,2000 Summer,2000,Summer,Sydney,Hockey,Hockey Men's Hockey,Gold
31729,Marten Eikelboom,M,30,185,75,Netherlands,NED,2004 Summer,2004,Summer,Athina,Hockey,Hockey Men's Hockey,Silver
31733,Christoph Eimer,M,27,183,80,Germany,GER,2004 Summer,2004,Summer,Athina,Hockey,Hockey Men's Hockey,Bronze
31863,Oliver Oscar Emanuel Ekman Larsson,M,22,188,86,Sweden,SWE,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
31868,Emmanuel Ekpo,M,20,181,75,Nigeria,NGR,2008 Summer,2008,Summer,Beijing,Football,Football Men's Football,Silver
31890,Hicham El Guerrouj,M,25,176,58,Morocco,MAR,2000 Summer,2000,Summer,Sydney,Athletics,"Athletics Men's 1,500 metres",Silver
31890,Hicham El Guerrouj,M,29,176,58,Morocco,MAR,2004 Summer,2004,Summer,Athina,Athletics,"Athletics Men's 1,500 metres",Gold
31890,Hicham El Guerrouj,M,29,176,58,Morocco,MAR,2004 Summer,2004,Summer,Athina,Athletics,"Athletics Men's 5,000 metres",Gold
32207,Elaine Estrela Moura,F,21,167,61,Brazil,BRA,2004 Summer,2004,Summer,Athina,Football,Football Women's Football,Silver
32226,Troy Elder,M,22,180,84,Australia,AUS,2000 Summer,2000,Summer,Sydney,Hockey,Hockey Men's Hockey,Bronze
32226,Troy Elder,M,26,180,84,Australia,AUS,2004 Summer,2004,Summer,Athina,Hockey,Hockey Men's Hockey,Gold
32253,Joa Anna Elisabeth Elfsberg (Engvall-),F,22,177,66,Sweden,SWE,2002 Winter,2002,Winter,Salt Lake City,Ice Hockey,Ice Hockey Women's Ice Hockey,Bronze
32253,Joa Anna Elisabeth Elfsberg (Engvall-),F,26,177,66,Sweden,SWE,2006 Winter,2006,Winter,Torino,Ice Hockey,Ice Hockey Women's Ice Hockey,Silver
32272,Patrik Eli,M,29,185,88,Czech Republic,CZE,2006 Winter,2006,Winter,Torino,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
32277,Emma Maria Josefin Eliasson,F,16,167,68,Sweden,SWE,2006 Winter,2006,Winter,Torino,Ice Hockey,Ice Hockey Women's Ice Hockey,Silver
32382,Taylor Ellis-Watson,F,23,183,65,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 4 x 400 metres Relay,Gold
32389,Steven Elm,M,30,185,82,Canada,CAN,2006 Winter,2006,Winter,Torino,Speed Skating,Speed Skating Men's Team Pursuit (8 laps),Silver
32394,"James Andrew ""Jimmy"" Elmer",M,29,176,53,Australia,AUS,2000 Summer,2000,Summer,Sydney,Hockey,Hockey Men's Hockey,Bronze
32404,Amanda Elmore,F,25,180,80,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Women's Coxed Eights,Gold
32407,Brittany Joyce Elmslie,F,18,179,73,Australia,AUS,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
32407,Brittany Joyce Elmslie,F,18,179,73,Australia,AUS,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Silver
32407,Brittany Joyce Elmslie,F,18,179,73,Australia,AUS,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Silver
32407,Brittany Joyce Elmslie,F,22,179,73,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
32407,Brittany Joyce Elmslie,F,22,179,73,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Silver
32418,Per Eilert Elofsson,M,24,182,74,Sweden,SWE,2002 Winter,2002,Winter,Salt Lake City,Cross Country Skiing,Cross Country Skiing Men's 10/10 kilometres Pursuit,Bronze
32482,Uchenna Emedolu,M,27,183,87,Nigeria,NGR,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze
32513,Bjrn Emmerling,M,28,182,81,Germany,GER,2004 Summer,2004,Summer,Athina,Hockey,Hockey Men's Hockey,Bronze
32543,Julio Csar Enciso Ferreira,M,30,178,80,Paraguay,PAR,2004 Summer,2004,Summer,Athina,Football,Football Men's Football,Silver
32577,Tnu Endrekson,M,29,198,104,Estonia,EST,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Men's Double Sculls,Silver
32577,Tnu Endrekson,M,37,198,104,Estonia,EST,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Quadruple Sculls,Bronze
32695,Molly Marie Engstrom,F,22,175,78,United States,USA,2006 Winter,2006,Winter,Torino,Ice Hockey,Ice Hockey Women's Ice Hockey,Bronze
32695,Molly Marie Engstrom,F,26,175,78,United States,USA,2010 Winter,2010,Winter,Vancouver,Ice Hockey,Ice Hockey Women's Ice Hockey,Silver
32710,Jessica Phyllis Ennis-Hill,F,26,165,57,Great Britain,GBR,2012 Summer,2012,Summer,London,Athletics,Athletics Women's Heptathlon,Gold
32710,Jessica Phyllis Ennis-Hill,F,30,165,57,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's Heptathlon,Silver
32723,Sergi Enrique Montserrat,M,20,174,69,Spain,ESP,2008 Summer,2008,Summer,Beijing,Hockey,Hockey Men's Hockey,Silver
32728,Jorge Enrquez Garca,M,21,189,74,Mexico,MEX,2012 Summer,2012,Summer,London,Football,Football Men's Football,Gold
32765,Jol Dieudonn Martin Epalle Newaka,M,22,174,78,Cameroon,CMR,2000 Summer,2000,Summer,Sydney,Football,Football Men's Football,Gold
32794,Martin Erat,M,24,182,90,Czech Republic,CZE,2006 Winter,2006,Winter,Torino,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
32879,Fie Udby Erichsen,F,27,184,79,Denmark,DEN,2012 Summer,2012,Summer,London,Rowing,Rowing Women's Single Sculls,Silver
32906,Sven Jimmie Ericsson,M,33,187,94,Sweden,SWE,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
32907,Dan Ola Jonathan Ericsson (Marklund-),M,29,195,102,Sweden,SWE,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
32920,rika Cristiano dos Santos,F,20,172,55,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Football,Football Women's Football,Silver
32978,Carl Wilhelm Loui Eriksson,M,28,188,89,Sweden,SWE,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
32979,"Magdalena ""Magda"" Eriksson",F,22,172,66,Sweden,SWE,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Women's Football,Silver
33039,Nadine Ernsting-Krienke,F,30,172,67,Germany,GER,2004 Summer,2004,Summer,Athina,Hockey,Hockey Women's Hockey,Gold
33072,Martina Maria Ertl-Renz,F,28,162,59,Germany,GER,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing,Alpine Skiing Women's Combined,Bronze
33079,Anthony Lee Ervin,M,19,191,80,United States,USA,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 50 metres Freestyle,Gold
33079,Anthony Lee Ervin,M,19,191,80,United States,USA,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Silver
33079,Anthony Lee Ervin,M,35,191,80,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 50 metres Freestyle,Gold
33079,Anthony Lee Ervin,M,35,191,80,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
33200,Gro Espeseth,F,27,172,65,Norway,NOR,2000 Summer,2000,Summer,Sydney,Football,Football Women's Football,Gold
33249,Celso Esquivel Gonzlez,M,23,182,72,Paraguay,PAR,2004 Summer,2004,Summer,Athina,Football,Football Men's Football,Silver
33293,Ester Aperecida dos Santos,F,25,164,56,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Football,Football Women's Football,Silver
33312,Frode Estil,M,29,188,82,Norway,NOR,2002 Winter,2002,Winter,Salt Lake City,Cross Country Skiing,Cross Country Skiing Men's 15 kilometres,Silver
33312,Frode Estil,M,29,188,82,Norway,NOR,2002 Winter,2002,Winter,Salt Lake City,Cross Country Skiing,Cross Country Skiing Men's 10/10 kilometres Pursuit,Gold
33312,Frode Estil,M,29,188,82,Norway,NOR,2002 Winter,2002,Winter,Salt Lake City,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,Gold
33312,Frode Estil,M,33,188,82,Norway,NOR,2006 Winter,2006,Winter,Torino,Cross Country Skiing,Cross Country Skiing Men's 30 km Skiathlon,Silver
33356,Oghenekaro Peter Etebo,M,20,172,71,Nigeria,NGR,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Men's Football,Bronze
33368,Ophlie-Cyrielle Etienne,F,21,175,57,France,FRA,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Bronze
33379,Samuel Eto'o Fils,M,19,180,72,Cameroon,CMR,2000 Summer,2000,Summer,Sydney,Football,Football Men's Football,Gold
33431,Blair Catherine Evans,F,21,175,65,Australia,AUS,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Silver
33517,Floris Maarten Alphons Maria Evers,M,21,189,83,Netherlands,NED,2004 Summer,2004,Summer,Athina,Hockey,Hockey Men's Hockey,Silver
33517,Floris Maarten Alphons Maria Evers,M,29,189,83,Netherlands,NED,2012 Summer,2012,Summer,London,Hockey,Hockey Men's Hockey,Silver
33520,Meike Evers,F,23,185,76,Germany,GER,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Women's Quadruple Sculls,Gold
33520,Meike Evers,F,27,185,76,Germany,GER,2004 Summer,2004,Summer,Athina,Rowing,Rowing Women's Quadruple Sculls,Gold
33522,Caroline Frances Evers-Swindell (-Meyer),F,25,178,76,New Zealand,NZL,2004 Summer,2004,Summer,Athina,Rowing,Rowing Women's Double Sculls,Gold
33522,Caroline Frances Evers-Swindell (-Meyer),F,29,178,76,New Zealand,NZL,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Women's Double Sculls,Gold
33523,Georgina Emma Buchanan Evers-Swindell (-Earl),F,25,178,78,New Zealand,NZL,2004 Summer,2004,Summer,Athina,Rowing,Rowing Women's Double Sculls,Gold
33523,Georgina Emma Buchanan Evers-Swindell (-Earl),F,29,178,78,New Zealand,NZL,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Women's Double Sculls,Gold
33537,Nelson vora,M,24,183,76,Portugal,POR,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Triple Jump,Gold
33592,Imoh Ezekiel,M,22,171,80,Nigeria,NGR,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Men's Football,Bronze
33606,Ali Ezzine,M,22,175,57,Morocco,MAR,2000 Summer,2000,Summer,Sydney,Athletics,"Athletics Men's 3,000 metres Steeplechase",Bronze
33636,Marco Jhonfai Fabin de la Mora,M,23,172,69,Mexico,MEX,2012 Summer,2012,Summer,London,Football,Football Men's Football,Gold
33637,Fabiana da Silva Simes,F,19,161,56,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Football,Football Women's Football,Silver
33650,Vesna Fabjan,F,28,170,62,Slovenia,SLO,2014 Winter,2014,Winter,Sochi,Cross Country Skiing,Cross Country Skiing Women's Sprint,Bronze
33659,"Alexandre ""Alex"" Fbregas Carne",M,27,184,83,Spain,ESP,2008 Summer,2008,Summer,Beijing,Hockey,Hockey Men's Hockey,Silver
33663,"Francisco ""Kiko"" Fbregas Monegal",M,30,182,78,Spain,ESP,2008 Summer,2008,Summer,Beijing,Hockey,Hockey Men's Hockey,Silver
